"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"70,83";"66,67";"58,00"
"TUW-137078-ref2";"100,00";"80,00";"80,00"
"TUW-137078-ref3";"83,33";"71,43";"71,43"
"TUW-137078-ref4";"100,00";"88,89";"88,89"
"TUW-137078-ref5";"100,00";"85,71";"85,71"
"TUW-137078-ref6";"70,00";"57,14";"52,38"
"TUW-138447-ref2";"83,33";"55,56";"55,56"
"TUW-138447-ref3";"4,00";"9,52";"4,17"
"TUW-138447-ref10";"33,33";"33,33";"30,00"
"TUW-138544-ref1";"100,00";"80,00";"80,00"
"TUW-138544-ref2";"100,00";"88,89";"88,89"
"TUW-138544-ref3";"87,50";"77,78";"77,78"
"TUW-138544-ref4";"100,00";"80,00";"80,00"
"TUW-138544-ref5";"25,00";"20,00";"12,50"
"TUW-138544-ref7";"0,00";"0,00";"0,00"
"TUW-138547-ref2";"90,00";"81,82";"81,82"
"TUW-138547-ref3";"0,00";"0,00";"0,00"
"TUW-138547-ref4";"87,50";"70,00";"70,00"
"TUW-138547-ref5";"87,50";"70,00";"70,00"
"TUW-138547-ref6";"87,50";"70,00";"70,00"
"TUW-138547-ref7";"88,89";"72,73";"72,73"
"TUW-139299-ref1";"60,00";"50,00";"42,86"
"TUW-139299-ref2";"75,00";"50,00";"42,86"
"TUW-139299-ref3";"100,00";"70,00";"70,00"
"TUW-139299-ref4";"77,78";"70,00";"63,64"
"TUW-139299-ref5";"95,24";"83,33";"82,42"
"TUW-139299-ref6";"100,00";"90,00";"90,00"
"TUW-139299-ref7";"100,00";"87,50";"87,50"
"TUW-139299-ref8";"66,67";"50,00";"44,44"
"TUW-139299-ref9";"77,78";"70,00";"63,64"
"TUW-139299-ref10";"62,96";"58,00";"52,07"
"TUW-139299-ref11";"66,67";"33,33";"28,57"
"TUW-139761-ref1";"85,71";"75,00";"75,00"
"TUW-139761-ref2";"87,50";"77,78";"77,78"
"TUW-139761-ref3";"83,33";"71,43";"71,43"
"TUW-139761-ref4";"83,33";"71,43";"71,43"
"TUW-139761-ref5";"62,50";"71,43";"55,56"
"TUW-139761-ref6";"87,50";"77,78";"77,78"
"TUW-139761-ref7";"50,00";"37,50";"33,33"
"TUW-139761-ref8";"28,57";"28,57";"20,00"
"TUW-139761-ref9";"87,50";"77,78";"77,78"
"TUW-139761-ref10";"88,89";"80,00";"80,00"
"TUW-139761-ref11";"87,50";"77,78";"77,78"
"TUW-139761-ref12";"40,00";"28,57";"25,00"
"TUW-139761-ref13";"50,00";"31,25";"29,63"
"TUW-139761-ref14";"77,78";"70,00";"70,00"
"TUW-139761-ref15";"88,89";"80,00";"80,00"
"TUW-139761-ref16";"50,00";"33,33";"33,33"
"TUW-139761-ref17";"80,00";"66,67";"66,67"
"TUW-139761-ref18";"85,71";"75,00";"75,00"
"TUW-139761-ref19";"80,00";"58,33";"61,11"
"TUW-139761-ref20";"76,67";"67,86";"66,67"
"TUW-139761-ref21";"88,89";"80,00";"80,00"
"TUW-139761-ref22";"83,33";"71,43";"71,43"
"TUW-139761-ref23";"71,43";"71,43";"62,50"
"TUW-139761-ref24";"66,67";"57,14";"50,00"
"TUW-139761-ref25";"71,43";"62,50";"62,50"
"TUW-139761-ref26";"88,89";"80,00";"80,00"
"TUW-139761-ref27";"33,33";"20,00";"20,00"
"TUW-139761-ref28";"62,50";"55,56";"50,00"
"TUW-139761-ref29";"83,33";"71,43";"71,43"
"TUW-139761-ref30";"25,00";"14,29";"14,29"
"TUW-139761-ref31";"71,43";"71,43";"62,50"
"TUW-139761-ref32";"85,71";"75,00";"75,00"
"TUW-139761-ref33";"40,00";"25,00";"22,22"
"TUW-139761-ref34";"83,33";"62,50";"62,50"
"TUW-139769-ref1";"100,00";"88,89";"88,89"
"TUW-139769-ref2";"66,67";"40,00";"33,33"
"TUW-139769-ref3";"100,00";"90,00";"90,00"
"TUW-139769-ref4";"100,00";"88,89";"88,89"
"TUW-139769-ref5";"100,00";"80,00";"80,00"
"TUW-139769-ref6";"100,00";"90,00";"90,00"
"TUW-139769-ref7";"87,50";"77,78";"77,78"
"TUW-139769-ref8";"100,00";"83,33";"83,33"
"TUW-139769-ref9";"100,00";"87,50";"87,50"
"TUW-139769-ref10";"100,00";"66,67";"66,67"
"TUW-139769-ref11";"60,00";"50,00";"42,86"
"TUW-139769-ref12";"100,00";"83,33";"83,33"
"TUW-139769-ref13";"85,71";"66,67";"66,67"
"TUW-139769-ref14";"50,00";"40,00";"27,78"
"TUW-139769-ref15";"87,50";"77,78";"70,00"
"TUW-139769-ref16";"100,00";"87,50";"87,50"
"TUW-139769-ref17";"100,00";"83,33";"83,33"
"TUW-139769-ref18";"100,00";"87,50";"87,50"
"TUW-139769-ref19";"100,00";"90,00";"90,00"
"TUW-139769-ref20";"100,00";"88,89";"88,89"
"TUW-139769-ref21";"80,00";"66,67";"57,14"
"TUW-139769-ref22";"100,00";"88,89";"88,89"
"TUW-139769-ref23";"100,00";"88,89";"88,89"
"TUW-139769-ref24";"88,89";"88,89";"80,00"
"TUW-139769-ref25";"100,00";"88,89";"88,89"
"TUW-139769-ref26";"100,00";"90,00";"90,00"
"TUW-139769-ref27";"100,00";"90,00";"90,00"
"TUW-139769-ref28";"100,00";"88,89";"88,89"
"TUW-139769-ref29";"100,00";"90,00";"90,00"
"TUW-139769-ref30";"100,00";"90,00";"90,00"
"TUW-139769-ref31";"100,00";"90,00";"90,00"
"TUW-139769-ref32";"60,00";"42,86";"37,50"
"TUW-139769-ref33";"85,71";"75,00";"75,00"
"TUW-139769-ref34";"85,71";"75,00";"75,00"
"TUW-139769-ref35";"80,00";"66,67";"66,67"
"TUW-139769-ref36";"75,00";"50,00";"42,86"
"TUW-139769-ref37";"100,00";"88,89";"88,89"
"TUW-139769-ref38";"100,00";"88,89";"88,89"
"TUW-139769-ref39";"71,43";"62,50";"55,56"
"TUW-139769-ref40";"100,00";"88,89";"88,89"
"TUW-139769-ref41";"100,00";"83,33";"83,33"
"TUW-139769-ref42";"80,00";"66,67";"57,14"
"TUW-139781-ref1";"100,00";"88,89";"88,89"
"TUW-139781-ref2";"85,71";"66,67";"66,67"
"TUW-139781-ref3";"100,00";"90,00";"90,00"
"TUW-139781-ref4";"80,00";"66,67";"57,14"
"TUW-139781-ref5";"100,00";"88,89";"88,89"
"TUW-139781-ref6";"100,00";"87,50";"87,50"
"TUW-139781-ref7";"100,00";"87,50";"87,50"
"TUW-139781-ref8";"100,00";"88,89";"88,89"
"TUW-139785-ref1";"87,50";"70,00";"70,00"
"TUW-139785-ref2";"88,89";"80,00";"80,00"
"TUW-139785-ref3";"87,50";"70,00";"70,00"
"TUW-139785-ref4";"79,17";"65,00";"64,00"
"TUW-139785-ref5";"87,50";"77,78";"77,78"
"TUW-139785-ref6";"60,00";"50,00";"50,00"
"TUW-139785-ref7";"71,88";"60,00";"58,57"
"TUW-139785-ref8";"81,25";"70,00";"66,67"
"TUW-139785-ref9";"55,56";"58,33";"48,57"
"TUW-139785-ref10";"85,71";"75,00";"75,00"
"TUW-139785-ref11";"87,50";"77,78";"77,78"
"TUW-139785-ref12";"83,33";"75,00";"75,00"
"TUW-139785-ref13";"50,00";"40,00";"33,33"
"TUW-139785-ref14";"38,89";"35,71";"30,00"
"TUW-139785-ref15";"87,50";"77,78";"77,78"
"TUW-139785-ref16";"88,89";"80,00";"80,00"
"TUW-139785-ref17";"71,43";"50,00";"50,00"
"TUW-139785-ref18";"87,50";"70,00";"70,00"
"TUW-139785-ref19";"57,14";"44,44";"44,44"
"TUW-139785-ref20";"48,15";"50,00";"44,00"
"TUW-139785-ref21";"60,00";"50,00";"42,86"
"TUW-139785-ref22";"87,50";"70,00";"70,00"
"TUW-139785-ref23";"88,89";"80,00";"80,00"
"TUW-139785-ref24";"87,50";"77,78";"77,78"
"TUW-139785-ref25";"87,50";"77,78";"77,78"
"TUW-139785-ref26";"83,33";"69,70";"68,83"
"TUW-139785-ref27";"50,00";"40,00";"33,33"
"TUW-139785-ref28";"87,50";"70,00";"70,00"
"TUW-139785-ref29";"60,00";"50,00";"42,86"
"TUW-139785-ref30";"59,26";"50,00";"42,31"
"TUW-139785-ref31";"88,89";"80,00";"80,00"
"TUW-139785-ref32";"83,33";"76,67";"75,71"
"TUW-139785-ref33";"26,67";"16,67";"15,56"
"TUW-139785-ref34";"87,50";"70,00";"70,00"
"TUW-139785-ref35";"50,00";"33,33";"33,33"
"TUW-139785-ref36";"50,00";"40,00";"33,33"
"TUW-139785-ref37";"50,00";"41,67";"35,71"
"TUW-139785-ref38";"40,00";"28,57";"25,00"
"TUW-139785-ref39";"81,48";"75,00";"74,00"
"TUW-139785-ref40";"87,50";"70,00";"70,00"
"TUW-139785-ref41";"62,50";"55,56";"55,56"
"TUW-139785-ref42";"50,00";"37,50";"33,33"
"TUW-139785-ref43";"87,50";"70,00";"70,00"
"TUW-139785-ref45";"55,00";"45,83";"39,29"
"TUW-140047-ref1";"85,71";"66,67";"66,67"
"TUW-140047-ref2";"85,71";"66,67";"66,67"
"TUW-140047-ref3";"80,00";"66,67";"66,67"
"TUW-140047-ref4";"50,00";"33,33";"28,57"
"TUW-140047-ref5";"71,43";"55,56";"55,56"
"TUW-140048-ref1";"40,00";"33,33";"25,00"
"TUW-140048-ref2";"100,00";"81,82";"81,82"
"TUW-140048-ref3";"71,43";"55,56";"50,00"
"TUW-140048-ref4";"100,00";"81,82";"81,82"
"TUW-140048-ref5";"75,00";"50,00";"50,00"
"TUW-140048-ref7";"20,00";"16,67";"11,11"
"TUW-140048-ref8";"25,00";"16,67";"12,50"
"TUW-140048-ref9";"25,00";"16,67";"12,50"
"TUW-140048-ref10";"25,00";"16,67";"14,29"
"TUW-140048-ref11";"25,00";"14,29";"12,50"
"TUW-140048-ref12";"25,00";"16,67";"14,29"
"TUW-140048-ref13";"25,00";"16,67";"14,29"
"TUW-140229-ref1";"100,00";"87,50";"87,50"
"TUW-140229-ref2";"100,00";"83,33";"83,33"
"TUW-140229-ref3";"100,00";"90,00";"90,00"
"TUW-140229-ref4";"83,33";"71,43";"71,43"
"TUW-140229-ref5";"88,89";"72,73";"72,73"
"TUW-140229-ref6";"75,00";"54,55";"54,55"
"TUW-140229-ref7";"100,00";"90,00";"90,00"
"TUW-140229-ref8";"100,00";"90,00";"90,00"
"TUW-140229-ref9";"100,00";"90,00";"90,00"
"TUW-140229-ref10";"100,00";"66,67";"66,67"
"TUW-140253-ref6";"33,33";"10,00";"10,00"
"TUW-140253-ref32";"33,33";"11,11";"11,11"
"TUW-140253-ref34";"72,73";"80,00";"66,67"
"TUW-140308-ref2";"60,00";"50,00";"46,15"
"TUW-140308-ref3";"77,78";"58,33";"58,33"
"TUW-140308-ref4";"85,71";"75,00";"75,00"
"TUW-140867-ref1";"86,36";"69,09";"69,09"
"TUW-140867-ref2";"100,00";"83,33";"83,33"
"TUW-140867-ref3";"100,00";"83,33";"83,33"
"TUW-140867-ref4";"100,00";"66,67";"66,67"
"TUW-140867-ref5";"66,67";"57,14";"50,00"
"TUW-140867-ref6";"100,00";"83,33";"83,33"
"TUW-140867-ref7";"80,00";"66,67";"66,67"
"TUW-140867-ref8";"100,00";"75,00";"75,00"
"TUW-140867-ref9";"66,67";"44,44";"44,44"
"TUW-140895-ref1";"100,00";"88,89";"88,89"
