"File";"Precision";"Recall";"F1"
"TUW-137078";"64,29";"22,22";"21,06"
"TUW-138011";"70,83";"25,00";"24,24"
"TUW-138447";"77,78";"19,90";"19,64"
"TUW-138544";"78,13";"24,40";"23,74"
"TUW-138547";"73,96";"25,82";"24,27"
"TUW-139299";"68,75";"36,36";"35,12"
"TUW-139761";"37,14";"20,00";"15,21"
"TUW-139769";"33,84";"19,37";"14,65"
"TUW-139781";"71,88";"25,00";"24,44"
"TUW-139785";"61,39";"19,84";"20,10"
"TUW-140047";"65,63";"23,13";"24,17"
"TUW-140048";"44,51";"11,03";"12,24"
"TUW-140229";"79,17";"25,56";"25,95"
"TUW-140253";"84,38";"30,77";"27,69"
"TUW-140308";"83,93";"21,41";"20,83"
"TUW-140533";"38,46";"8,21";"8,64"
"TUW-140867";"62,50";"17,83";"18,48"
"TUW-140895";"76,77";"19,46";"19,28"
"TUW-140983";"64,29";"18,33";"17,23"
"TUW-141024";"66,67";"26,59";"26,58"
"TUW-141065";"71,88";"20,93";"22,19"
"TUW-141121";"78,33";"25,60";"25,56"
"TUW-141140";"70,83";"23,30";"25,22"
"TUW-141336";"60,71";"14,89";"15,03"
"TUW-141618";"67,86";"29,73";"28,20"
"TUW-141758";"39,38";"8,54";"10,12"
"TUW-168222";"72,50";"29,17";"25,93"
"TUW-168482";"36,26";"12,90";"11,14"
"TUW-169511";"70,00";"27,27";"26,26"
"TUW-172697";"40,00";"11,54";"11,89"
"TUW-174216";"47,92";"9,25";"10,11"
"TUW-175428";"35,83";"18,22";"12,54"
"TUW-176087";"67,86";"20,37";"20,61"
"TUW-177140";"41,67";"15,00";"14,39"
"TUW-179146";"74,11";"28,81";"29,14"
"TUW-180162";"67,50";"18,80";"20,32"
"TUW-181199";"45,00";"13,89";"14,39"
"TUW-182414";"84,52";"27,36";"27,23"
"TUW-182899";"62,50";"16,93";"17,69"
"TUW-185321";"85,42";"41,67";"39,44"
"TUW-185441";"75,00";"32,86";"31,08"
"TUW-186227";"62,50";"32,86";"25,93"
"TUW-189842";"76,19";"17,26";"16,12"
"TUW-191715";"92,89";"28,49";"30,15"
"TUW-191977";"70,00";"23,61";"23,32"
"TUW-192724";"45,00";"12,34";"13,04"
"TUW-194085";"42,03";"17,80";"14,13"
"TUW-194561";"69,16";"20,78";"20,23"
"TUW-194660";"71,67";"30,00";"28,89"
"TUW-197422";"68,75";"30,00";"25,23"
"TUW-197852";"72,50";"26,92";"23,63"
"TUW-198400";"65,63";"20,16";"20,90"
"TUW-198401";"76,25";"28,21";"25,01"
"TUW-198405";"68,75";"20,83";"21,67"
"TUW-198408";"79,17";"29,45";"27,19"
"TUW-200745";"33,85";"17,13";"11,79"
"TUW-200748";"33,52";"16,22";"11,62"
"TUW-200948";"66,29";"24,02";"22,85"
"TUW-200950";"40,00";"11,11";"11,90"
"TUW-200959";"57,29";"22,73";"21,41"
"TUW-201066";"88,75";"44,44";"41,62"
"TUW-201160";"84,52";"44,44";"40,37"
"TUW-201167";"62,50";"33,33";"30,16"
"TUW-201821";"55,36";"25,00";"20,83"
"TUW-202034";"38,10";"17,80";"12,08"
"TUW-202824";"62,50";"30,56";"26,07"
"TUW-203409";"58,33";"22,22";"20,63"
"TUW-203924";"65,00";"19,01";"20,80"
"TUW-204724";"70,23";"25,64";"22,93"
"TUW-205557";"50,00";"28,57";"25,00"
"TUW-205933";"44,44";"12,04";"13,23"
"TUW-213513";"56,25";"27,27";"22,94"
"TUW-216744";"58,33";"19,66";"18,35"
"TUW-217690";"40,00";"18,18";"15,91"
"TUW-217971";"66,67";"26,67";"26,67"
"TUW-221215";"26,80";"8,37";"8,63"
"TUW-223906";"78,13";"26,53";"23,81"
"TUW-223973";"59,52";"22,84";"21,84"
"TUW-225252";"86,67";"40,74";"39,51"
"TUW-226000";"67,92";"23,51";"24,06"
"TUW-226016";"18,18";"3,21";"3,90"
"TUW-228620";"25,00";"6,98";"7,06"
"TUW-231707";"80,36";"34,17";"31,93"
"TUW-233317";"65,00";"20,00";"20,00"
"TUW-233657";"76,79";"21,89";"22,69"
"TUW-236063";"62,50";"30,00";"26,67"
"TUW-236120";"70,00";"14,71";"16,95"
"TUW-237297";"55,21";"30,86";"25,82"
"TUW-240858";"64,74";"21,58";"21,58"
"TUW-245336";"75,00";"49,46";"41,39"
"TUW-245799";"83,33";"15,82";"16,99"
"TUW-247301";"68,75";"27,27";"25,97"
"TUW-247741";"48,96";"15,28";"15,74"
"TUW-247743";"37,50";"15,87";"13,47"
"TUW-251544";"68,75";"14,07";"16,35"
"TUW-252847";"82,29";"27,38";"24,92"
"TUW-255712";"62,50";"37,50";"29,63"
"TUW-256654";"67,86";"21,88";"22,22"
"TUW-257397";"79,17";"29,47";"27,20"
"TUW-257870";"69,05";"22,14";"20,71"
"Average";"62,72";"22,94";"21,64"
