"File";"Precision";"Recall";"F1"
"TUW-137078";"87,88";"62,50";"68,65"
"TUW-138011";"86,67";"83,33";"75,00"
"TUW-138447";"36,36";"34,79";"24,43"
"TUW-138544";"81,63";"42,86";"44,29"
"TUW-138547";"91,26";"76,05";"76,05"
"TUW-139299";"50,84";"57,20";"41,60"
"TUW-139761";"16,67";"20,00";"13,89"
"TUW-139769";"18,18";"10,95";"7,83"
"TUW-139781";"58,33";"38,89";"31,11"
"TUW-139785";"30,39";"13,11";"12,10"
"TUW-140047";"73,97";"48,61";"53,45"
"TUW-140048";"97,33";"69,31";"70,75"
"TUW-140229";"88,64";"76,94";"78,71"
"TUW-140253";"75,00";"62,64";"64,87"
"TUW-140308";"98,08";"76,79";"79,01"
"TUW-140533";"35,42";"9,30";"8,70"
"TUW-140867";"75,00";"42,31";"43,59"
"TUW-140895";"31,25";"14,31";"14,74"
"TUW-140983";"67,04";"41,11";"40,33"
"TUW-141024";"97,96";"61,00";"64,07"
"TUW-141065";"99,35";"79,96";"83,91"
"TUW-141121";"84,38";"57,74";"54,55"
"TUW-141140";"89,37";"67,14";"68,50"
"TUW-141336";"68,75";"50,19";"50,68"
"TUW-141618";"63,33";"33,03";"35,14"
"TUW-141758";"27,84";"24,12";"18,11"
"TUW-168222";"70,83";"35,42";"35,42"
"TUW-168482";"11,11";"8,33";"6,67"
"TUW-169511";"87,50";"85,61";"81,97"
"TUW-172697";"66,67";"46,15";"40,00"
"TUW-174216";"56,63";"40,56";"38,13"
"TUW-175428";"8,32";"3,58";"3,27"
"TUW-176087";"96,67";"64,73";"68,42"
"TUW-177140";"64,33";"59,44";"55,00"
"TUW-179146";"32,50";"40,71";"25,10"
"TUW-180162";"92,88";"65,52";"68,06"
"TUW-181199";"52,00";"53,19";"43,31"
"TUW-182414";"59,62";"51,96";"50,42"
"TUW-182899";"87,88";"44,73";"52,04"
"TUW-185321";"100,00";"66,67";"66,67"
"TUW-185441";"61,00";"24,79";"26,79"
"TUW-186227";"100,00";"49,29";"52,67"
"TUW-189842";"30,53";"30,65";"26,44"
"TUW-191715";"52,70";"51,02";"37,04"
"TUW-191977";"94,17";"78,47";"78,47"
"TUW-192724";"91,15";"70,03";"75,23"
"TUW-194085";"28,57";"9,72";"9,18"
"TUW-194561";"70,28";"75,30";"58,57"
"TUW-194660";"50,00";"24,00";"21,43"
"TUW-197422";"99,52";"63,29";"66,32"
"TUW-197852";"40,74";"15,66";"17,26"
"TUW-198400";"74,15";"62,12";"61,90"
"TUW-198401";"55,00";"35,90";"29,17"
"TUW-198405";"80,00";"23,61";"26,39"
"TUW-198408";"46,67";"21,43";"22,22"
"TUW-200745";"16,67";"9,38";"8,57"
"TUW-200748";"16,67";"9,64";"7,47"
"TUW-200948";"77,65";"71,37";"66,56"
"TUW-200950";"76,19";"66,67";"60,00"
"TUW-200959";"76,32";"31,77";"32,93"
"TUW-201066";"67,59";"67,59";"55,30"
"TUW-201160";"58,57";"58,41";"45,80"
"TUW-201167";"66,67";"66,67";"54,55"
"TUW-201821";"83,33";"83,33";"71,43"
"TUW-202034";"17,78";"11,11";"10,48"
"TUW-202824";"42,42";"66,67";"38,46"
"TUW-203409";"80,00";"81,48";"68,18"
"TUW-203924";"89,70";"59,67";"66,13"
"TUW-204724";"62,24";"45,51";"47,79"
"TUW-205557";"88,89";"76,19";"76,19"
"TUW-205933";"94,84";"58,15";"59,20"
"TUW-213513";"80,00";"74,24";"65,00"
"TUW-216744";"60,42";"55,00";"51,39"
"TUW-217690";"96,88";"55,76";"59,09"
"TUW-217971";"60,00";"60,00";"50,00"
"TUW-221215";"20,35";"10,26";"9,26"
"TUW-223906";"83,33";"71,43";"62,50"
"TUW-223973";"77,78";"63,64";"63,64"
"TUW-225252";"56,25";"62,96";"44,86"
"TUW-226000";"82,74";"87,99";"75,27"
"TUW-226016";"22,22";"18,18";"14,29"
"TUW-228620";"75,90";"59,19";"57,58"
"TUW-231707";"85,71";"46,67";"51,51"
"TUW-233317";"79,06";"73,08";"69,20"
"TUW-233657";"78,51";"66,35";"65,48"
"TUW-236063";"72,22";"45,00";"44,00"
"TUW-236120";"88,64";"64,68";"66,52"
"TUW-237297";"60,22";"58,02";"44,44"
"TUW-240858";"93,33";"73,61";"75,13"
"TUW-245336";"100,00";"75,00";"75,00"
"TUW-245799";"55,04";"68,13";"50,32"
"TUW-247301";"100,00";"81,82";"81,82"
"TUW-247741";"69,39";"50,20";"45,15"
"TUW-247743";"16,67";"16,67";"11,90"
"TUW-251544";"85,71";"41,35";"42,66"
"TUW-252847";"80,34";"68,48";"60,59"
"TUW-255712";"71,88";"73,00";"64,36"
"TUW-256654";"12,50";"8,33";"5,56"
"TUW-257397";"99,06";"80,04";"83,91"
"TUW-257870";"53,57";"57,14";"43,75"
"Average";"66,26";"50,86";"47,71"
