"EvaluationType";"Precision";"Recall";"F1"
"Title";"87,63";"85,00";"85,00"
"Publicationtype";"61,00";"61,00";"61,00"
"Abstract";"69,66";"67,39";"67,39"
"Keywords";"82,73";"63,94";"61,94"
"Authors";"84,07";"88,15";"83,59"
"Emails";"90,32";"61,96";"63,69"
"Author-Emails";"85,59";"58,33";"60,07"
"Affiliations";"88,30";"80,08";"79,72"
"Author-Affiliations";"65,68";"67,93";"62,60"
"Source";"66,67";"21,05";"20,00"
"Volume";"100,00";"100,00";"100,00"
"Issue";"100,00";"100,00";"100,00"
"Page from";"100,00";"50,00";"50,00"
"Page to";"100,00";"50,00";"50,00"
"Date";"25,00";"18,75";"12,50"
"Doi";"100,00";"100,00";"100,00"
"Sections";"83,35";"83,86";"81,65"
"Section-Levels";"95,33";"84,04";"86,88"
"Section-References";"36,83";"23,38";"23,88"
"References";"69,87";"61,75";"59,80"
"Average";"79,60";"66,33";"65,49"
